date,CR Land(1109.HK),COLI(0688.HK),Longfor Group(0960.HK),China Vanke(2202.HK),China Jinmao(0817.HK),Greentown China(3900.HK),Yuexiu Property(0123.HK),Sunac China(1918.HK),Hopson Development(0754.HK),Country Garden(2007.HK),Logan Group(3380.HK),Poly Property(0119.HK),Agile Group(3383.HK),Powerlong(1238.HK),R&F Properties(2777.HK),CIFI Holdings(0884.HK),Shimao Group(0813.HK),Sino-Ocean Group(3377.HK),Kaisa Group(1638.HK),KWG Group(1813.HK)
2024-09-02 00:00:00+08:00,19.07261848449707,10.83415699005127,8.11266803741455,3.869999885559082,0.655731201171875,5.789722442626953,3.7074570655822754,0.9700000286102295,2.640000104904175,0.48500001430511475,0.75,1.2322447299957275,0.4099999964237213,0.5199999809265137,0.7400000095367432,0.24899999797344208,0.6000000238418579,0.23499999940395355,0.09099999815225601,0.23899999260902405
2024-09-03 00:00:00+08:00,19.16365623474121,10.88924503326416,8.265917778015137,4.0,0.655731201171875,6.0796918869018555,3.791930913925171,0.9900000095367432,2.700000047683716,0.48500001430511475,0.7599999904632568,1.2225421667099,0.41499999165534973,0.48500001430511475,0.7599999904632568,0.25999999046325684,0.6399999856948853,0.2329999953508377,0.09099999815225601,0.24699999392032623
2024-09-04 00:00:00+08:00,18.799501419067383,10.797430038452148,8.218026161193848,3.9700000286102295,0.6463636159896851,6.050695419311523,3.754387140274048,0.9700000286102295,2.690000057220459,0.48500001430511475,0.7599999904632568,1.1934340000152588,0.41499999165534973,0.49000000953674316,0.7599999904632568,0.2549999952316284,0.6399999856948853,0.2290000021457672,0.08500000089406967,0.2370000034570694
2024-09-05 00:00:00+08:00,19.118139266967773,10.83415699005127,8.227603912353516,4.070000171661377,0.655731201171875,6.340664386749268,3.8482465744018555,0.9800000190734863,2.700000047683716,0.48500001430511475,0.7699999809265137,1.1837313175201416,0.41999998688697815,0.47999998927116394,0.7599999904632568,0.2549999952316284,0.6499999761581421,0.23000000417232513,0.09099999815225601,0.24199999868869781
2024-09-09 00:00:00+08:00,18.3812313079834,10.52198600769043,7.959417819976807,3.930000066757202,0.6276284456253052,5.963704586029053,3.6792993545532227,0.9399999976158142,2.630000114440918,0.48500001430511475,0.75,1.1546231508255005,0.4000000059604645,0.4350000023841858,0.6899999976158142,0.23899999260902405,0.6000000238418579,0.22699999809265137,0.08799999952316284,0.2290000021457672
2024-09-10 00:00:00+08:00,17.59004783630371,10.20981502532959,7.528401851654053,3.8399999141693115,0.6276284456253052,5.664069175720215,3.6417553424835205,0.9300000071525574,2.569999933242798,0.48500001430511475,0.7300000190734863,1.1352176666259766,0.3449999988079071,0.36000001430511475,0.6700000166893005,0.20399999618530273,0.4650000035762787,0.19099999964237213,0.08799999952316284,0.21899999678134918
2024-09-11 00:00:00+08:00,17.626846313476562,10.191452980041504,7.346417427062988,3.8399999141693115,0.6369960308074951,5.664069175720215,3.8388609886169434,0.9200000166893005,2.490000009536743,0.48500001430511475,0.7300000190734863,1.1352176666259766,0.35499998927116394,0.3050000071525574,0.6600000262260437,0.20999999344348907,0.46000000834465027,0.18799999356269836,0.08699999749660492,0.21299999952316284
2024-09-12 00:00:00+08:00,17.847640991210938,10.228178024291992,7.461355209350586,3.890000104904175,0.6182608604431152,5.635072231292725,3.8857903480529785,0.9300000071525574,2.4600000381469727,0.48500001430511475,0.7400000095367432,1.1449203491210938,0.375,0.3100000023841858,0.6899999976158142,0.21799999475479126,0.4650000035762787,0.18700000643730164,0.08799999952316284,0.2160000056028366
2024-09-13 00:00:00+08:00,18.031639099121094,10.301630020141602,7.681652069091797,3.930000066757202,0.6280745267868042,5.6544036865234375,3.9045627117156982,0.9200000166893005,2.4600000381469727,0.48500001430511475,0.7599999904632568,1.1643258333206177,0.375,0.30000001192092896,0.6800000071525574,0.21899999678134918,0.4650000035762787,0.16599999368190765,0.09399999678134918,0.21799999475479126
2024-09-16 00:00:00+08:00,17.645246505737305,10.094087600708008,7.499667644500732,3.8399999141693115,0.6280745267868042,5.557746887207031,3.8482465744018555,0.9100000262260437,2.4100000858306885,0.48500001430511475,0.7699999809265137,1.1352176666259766,0.375,0.3449999988079071,0.6899999976158142,0.21899999678134918,0.4699999988079071,0.1850000023841858,0.0860000029206276,0.21299999952316284
2024-09-17 00:00:00+08:00,17.75564193725586,10.320496559143066,7.624183177947998,3.9000000953674316,0.6378881931304932,5.577078342437744,3.8388609886169434,0.9200000166893005,2.359999895095825,0.48500001430511475,0.800000011920929,1.1449203491210938,0.38499999046325684,0.3499999940395355,0.6499999761581421,0.22599999606609344,0.4749999940395355,0.19699999690055847,0.10100000351667404,0.2150000035762787
2024-09-19 00:00:00+08:00,19.135616302490234,10.829917907714844,8.150979995727539,4.230000019073486,0.6575155258178711,5.954038619995117,4.111053943634033,0.9900000095367432,2.450000047683716,0.48500001430511475,0.8199999928474426,1.2128394842147827,0.41999998688697815,0.35499998927116394,0.7300000190734863,0.2370000034570694,0.5,0.19200000166893005,0.11500000208616257,0.22599999606609344
2024-09-20 00:00:00+08:00,19.641605377197266,11.037460327148438,8.40001106262207,4.460000038146973,0.696770191192627,6.215011119842529,4.157983303070068,1.0399999618530273,2.4800000190734863,0.48500001430511475,0.8199999928474426,1.2322447299957275,0.4300000071525574,0.3400000035762787,0.75,0.2280000001192093,0.5299999713897705,0.20000000298023224,0.10899999737739563,0.2280000001192093
2024-09-23 00:00:00+08:00,19.457611083984375,11.169532775878906,8.380854606628418,4.559999942779541,0.7065838575363159,6.166683197021484,4.148597717285156,1.0299999713897705,2.490000009536743,0.48500001430511475,0.8100000023841858,1.2128394842147827,0.4300000071525574,0.3149999976158142,0.75,0.2280000001192093,0.5299999713897705,0.19699999690055847,0.1120000034570694,0.23000000417232513
2024-09-24 00:00:00+08:00,20.607587814331055,11.735556602478027,8.850181579589844,4.679999828338623,0.7360248565673828,6.379326820373535,4.35508918762207,1.1699999570846558,2.6600000858306885,0.48500001430511475,0.8399999737739563,1.2613530158996582,0.4650000035762787,0.375,0.8700000047683716,0.25999999046325684,0.6100000143051147,0.21199999749660492,0.11900000274181366,0.2549999952316284
2024-09-25 00:00:00+08:00,20.10159683227539,11.678954124450684,8.792713165283203,4.690000057220459,0.7262111902236938,6.224676609039307,4.308159351348877,1.190000057220459,2.7200000286102295,0.48500001430511475,0.8299999833106995,1.2613530158996582,0.4650000035762787,0.36000001430511475,0.8500000238418579,0.2549999952316284,0.6100000143051147,0.1979999989271164,0.11599999666213989,0.26499998569488525
2024-09-26 00:00:00+08:00,24.42551040649414,13.5090970993042,11.283024787902832,5.730000019073486,0.8832297921180725,7.336226463317871,4.974563121795654,1.5099999904632568,3.069999933242798,0.48500001430511475,0.9700000286102295,1.4262992143630981,0.5899999737739563,0.4449999928474426,0.9900000095367432,0.32499998807907104,0.8500000238418579,0.24300000071525574,0.12999999523162842,0.35499998927116394
2024-09-27 00:00:00+08:00,25.667484283447266,14.527938842773438,13.141180038452148,6.670000076293945,0.9617391228675842,8.602425575256348,5.791141986846924,1.690000057220459,3.440000057220459,0.48500001430511475,1.0399999618530273,1.5815424919128418,0.6299999952316284,0.5400000214576721,1.100000023841858,0.375,0.8999999761581421,0.27000001072883606,0.23000000417232513,0.3799999952316284
2024-09-30 00:00:00+08:00,26.357471466064453,15.01849365234375,14.405491828918457,7.449999809265137,1.1481987237930298,8.85373306274414,5.969475746154785,2.619999885559082,4.829999923706055,0.48500001430511475,1.149999976158142,1.7270833253860474,0.75,0.6700000166893005,1.4800000190734863,0.4449999928474426,1.1100000143051147,0.3050000071525574,0.41999998688697815,0.48500001430511475
2024-10-02 00:00:00+08:00,29.117416381835938,17.2825870513916,17.968551635742188,12.0,1.6192545890808105,10.496892929077148,7.555704116821289,4.599999904632568,6.179999828338623,0.48500001430511475,1.5,2.0472729206085205,1.9500000476837158,1.0499999523162842,2.799999952316284,0.8799999952316284,2.809999942779541,0.6200000047683716,0.6200000047683716,0.9599999785423279
2024-10-03 00:00:00+08:00,27.36945343017578,16.5467586517334,16.26364517211914,11.859999656677246,1.4131677150726318,9.539993286132812,6.861142635345459,3.630000114440918,4.75,0.48500001430511475,1.2400000095367432,1.9308403730392456,1.6399999856948853,0.8899999856948853,2.4600000381469727,0.6700000166893005,2.059999942779541,0.5299999713897705,0.4950000047683716,0.8299999833106995
2024-10-04 00:00:00+08:00,27.553449630737305,16.565624237060547,16.244489669799805,11.0,1.4229813814163208,9.878292083740234,6.861142635345459,3.5199999809265137,4.630000114440918,0.48500001430511475,1.2999999523162842,1.9308403730392456,1.7000000476837158,0.8799999952316284,2.2699999809265137,0.6499999761581421,2.140000104904175,0.550000011920929,0.5,0.800000011920929
2024-10-07 00:00:00+08:00,27.553449630737305,16.829769134521484,16.01461410522461,10.9399995803833,1.6192545890808105,9.916954040527344,7.339827060699463,3.7200000286102295,4.929999828338623,0.48500001430511475,1.309999942779541,2.0084619522094727,1.7999999523162842,0.8999999761581421,2.380000114440918,0.6800000071525574,2.450000047683716,0.5600000023841858,0.5199999809265137,0.8199999928474426
